playerId,playerName,club,position,gamesPlayed,goals,totalShots,goalConversionPercentage,shotFromSetPiece,headedGoals,offsides,bigChancesMissed,shotsOnTarget,penaltiesTaken,freeKickGoal,leftFootGoals,penaltyConversion,successfulDribbles,shotsOffTarget,penaltyGoals,goalsFromInsideTheBox,rightFootGoals,setPieceConversion,successfulDribblesPercentage,blockedShots,penaltyWon,goalsFromOutsideTheBox,hitWoodwork,tackles,errorLeadToGoal,cleanSheet,interceptions,errorLeadToShot,penaltyConceded,ownGoals,dribbledPast,clearances,totalPasses,bigChancesCreated,accurateFinalThirdPasses,accurateLongBalls,assists,accuratePassesPercentage,inaccuratePasses,accurateOppositionHalfPasses,accurateCrossesPercentage,saves,savedShotsFromInsideTheBox,punches,crossesNotClaimed,savedShotsFromOutsideTheBox,runsOut,successfulRunsOut,goalsConcededInsideTheBox,penaltyFaced,penaltySave,goalsConcededOutsideTheBox,highClaims,yellowCards,aerialDuelsWon,minutesPlayed,possessionLost,redCards,aerialDuelsWonPercentage,wasFouled,groundDuelsWon,totalDuelsWon,fouls,matchesStarted,groundDuelsWonPercentage,totalDuelsWonPercentage,dispossessed,rating
802485,Thiago Lopes,Ferroviária,M,19,3,19,15.79,0,1,1,4,5,0,0,1,0.0,14,7,0,3,1,0.0,60.87,7,0,0,1,14,0,1,6,0,0,0,5,14,339,2,102,13,1,81.42,63,192,33.33,0,0,0,0,0,0,0,10,0,0,2,0,3,6,1094,108,0,27.27,26,54,60,9,14,62.79,55.56,9,6.91
922570,Luís Oyama,Novorizontino,M,19,1,9,11.11,0,0,1,0,2,0,0,0,0.0,7,5,0,0,1,0.0,33.33,2,0,1,0,17,0,0,6,0,0,0,12,5,492,3,129,40,3,84.55,76,244,22.22,0,0,0,0,0,0,0,7,0,0,3,0,2,4,1010,139,0,25.0,15,39,43,10,10,41.94,39.45,18,6.87
1546812,Italo,Chapecoense,M,19,4,24,16.67,0,0,2,2,8,0,0,1,0.0,9,13,0,4,3,0.0,52.94,3,0,0,0,7,0,1,6,0,0,0,3,11,134,2,55,4,1,79.85,27,82,14.29,0,0,0,0,0,0,0,8,0,0,0,0,2,8,648,67,0,33.33,8,23,31,6,3,47.92,43.06,8,6.85
1046490,João Vieira,Vila Nova FC,M,19,0,6,0.0,1,0,1,0,0,0,0,0,0.0,3,2,0,0,0,0.0,50.0,4,0,0,0,17,0,4,22,1,1,0,16,22,678,2,109,49,0,87.76,83,279,18.75,0,0,0,0,0,0,0,11,0,0,6,0,1,7,1428,121,0,38.89,18,38,45,32,16,41.76,41.28,6,6.75
77726,Josué,Coritiba,M,18,5,24,20.83,4,0,0,2,14,2,1,5,100.0,15,7,2,3,0,25.0,57.69,3,0,2,1,8,0,4,4,0,0,0,6,4,1047,6,287,53,4,87.3,133,596,25.53,0,0,0,0,0,0,0,9,0,0,1,0,5,2,1508,300,0,15.38,49,72,74,15,18,59.5,55.22,19,7.53
335807,Gegê,CRB,M,18,3,41,7.32,9,0,1,1,15,0,1,2,0.0,9,12,0,2,1,11.11,52.94,14,0,1,0,16,0,1,10,0,0,0,15,6,650,6,216,43,2,88.77,73,398,29.46,0,0,0,0,0,0,0,11,0,0,3,0,5,9,1311,184,0,37.5,12,37,46,24,16,41.11,40.35,6,7.29
1005337,Matheus Frizzo,Novorizontino,M,18,4,40,10.0,6,0,1,0,12,3,0,4,100.0,7,18,3,3,0,0.0,43.75,10,0,1,0,18,0,1,4,0,0,0,10,4,498,4,185,24,1,79.92,100,328,32.14,0,0,0,0,0,0,0,12,0,0,2,0,3,9,1390,220,0,23.08,34,59,68,25,18,52.21,44.74,12,7.21
981296,Thiaguinho,CRB,M,18,4,50,8.0,0,0,5,4,16,0,0,3,0.0,21,14,0,4,1,0.0,56.76,20,0,0,1,11,0,1,6,2,0,0,6,7,432,0,156,12,0,84.03,69,268,25.0,0,0,0,0,0,0,0,10,0,0,3,0,4,9,1236,169,0,34.62,22,54,63,10,16,52.43,48.84,17,7.08
576004,Juninho,Ferroviária,M,18,2,32,6.25,2,0,1,0,9,1,0,0,100.0,13,13,1,2,2,0.0,46.43,10,0,0,0,18,0,0,12,0,0,0,12,6,266,2,67,9,4,73.31,71,133,20.0,0,0,0,0,0,0,0,9,0,0,2,0,4,11,1081,137,0,36.67,38,69,80,9,13,59.48,54.79,12,6.99
840847,Leandro Maciel,Botafogo-SP,M,18,2,35,5.71,1,0,0,0,8,1,0,0,100.0,8,20,1,1,2,0.0,44.44,7,0,1,0,14,0,3,3,1,0,0,8,9,695,2,143,31,1,82.3,123,347,20.51,0,0,0,0,0,0,0,16,0,0,4,0,4,7,1482,214,0,36.84,26,48,55,16,18,51.06,48.67,14,6.97
